Data;Medo;Alegria;Tristeza;Confianca;Raiva;Antecipacao;Desgosto;Surpresa;Polaridade
06/09/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
17/09/2018;0;0.14287143;0.28564287;0.14287143;0;0.14287143;0.14287143;0.14287143;74.99562511
02/10/2018;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
02/01/2019;0.16668333;0;0;0.49995;0;0;0.16668333;0.16668333;74.99625019
18/01/2019;0;0;0;0.6667;0;0;0.3333;0;100
18/03/2019;0.33326667;0;0.05559444;0.22217778;0.05559444;0.16668333;0.11108889;0.05559444;45.45900834
20/03/2019;0.42855714;0;0.14288571;0.28567143;0.14288571;0;0;0;50
21/03/2019;0.2;0;0.4;0.1;0.1;0;0.1;0.1;71.42857143
25/03/2019;0.33333333;0;0.33333333;0;0.33333333;0;0;0;50
29/03/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
02/04/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
12/04/2019;0;0;0;0.6667;0;0;0.3333;0;100
20/04/2019;0.2;0;0.6;0.2;0;0;0;0;80
14/05/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
16/05/2019;0.21427857;0;0.14288571;0.28567143;0;0.14288571;0.21427857;0;66.66666666
12/06/2019;0.15383077;0.07691538;0.15383077;0.07691538;0.23084617;0.07691538;0.15383077;0.07691538;50
01/07/2019;0;0.16668333;0;0.49995;0;0.16668333;0;0.16668333;74.99625019
10/07/2019;0.25;0;0.75;0;0;0;0;0;75
05/08/2019;0.16666667;0.16666667;0;0.16666667;0.16666667;0.16666667;0;0.16666667;33.33333333
24/09/2019;0;0;0.33333333;0;0.33333333;0;0.33333333;0;100
16/10/2019;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
21/10/2019;0.3;0.05;0.2;0.1;0.1;0.1;0.1;0.05;46.15384615
24/10/2019;0.1;0.1;0.2;0.3;0.05;0.1;0.05;0.1;71.42857143
29/10/2019;0.30773077;0;0.15381538;0.15381538;0.23082308;0;0.15381538;0;49.99187388
31/10/2019;0.30773077;0;0;0.30773077;0.15381538;0.15381538;0.07690769;0;50
01/11/2019;0.3269;0;0;0.2885;0.1731;0.1538;0.0577;0;46.880078
03/11/2019;0;0;0.5;0;0;0;0.5;0;100
07/11/2019;0.2;0;0.2;0;0.4;0;0;0.2;50
08/11/2019;0.2857;0;0.2857;0;0.1429;0;0.2857;0;50
12/12/2019;0.2;0;0.4;0;0.4;0;0;0;66.66666667
16/12/2019;0.11111111;0.11111111;0.11111111;0.11111111;0.22222222;0.11111111;0.22222222;0;50
19/12/2019;0.5;0;0;0.5;0;0;0;0;50
20/12/2019;0;0;0;0.25;0;0;0.75;0;100
26/12/2019;0.5;0;0;0.1667;0.3333;0;0;0;25.00374981
03/01/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
06/02/2020;0.5;0;0;0;0;0.5;0;0;0
09/02/2020;0.3333;0;0;0;0;0.6667;0;0;0
12/02/2020;0;1;0;0;0;0;0;0;0
26/02/2020;0;0;0;0;0.5;0;0;0.5;NAN
01/03/2020;0.4;0;0;0;0.2;0.2;0;0.2;0
06/03/2020;0;0;0.33333333;0;0.33333333;0;0.33333333;0;100
08/03/2020;0.3333;0;0.5;0.1667;0;0;0;0;66.67
09/03/2020;0.29412941;0;0.58825883;0;0.05880588;0;0.05880588;0;66.66666704
11/03/2020;0.5;0;0.5;0;0;0;0;0;50
12/03/2020;0.21427857;0;0.42855714;0.21427857;0.14288571;0;0;0;75
23/04/2020;0;0;0;0;1;0;0;0;NAN
24/04/2020;1;0;0;0;0;0;0;0;0
27/04/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
12/05/2020;0.25;0;0.75;0;0;0;0;0;75
14/05/2020;0.2;0;0.4;0;0.2;0;0.2;0;66.66666667
15/05/2020;0;0;0.16668333;0.33326667;0.16668333;0;0.16668333;0.16668333;100
22/05/2020;0.33333333;0;0.33333333;0;0;0;0.33333333;0;50
23/05/2020;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
07/07/2020;0.0455;0.1818;0.0909;0.2273;0.1818;0.0909;0.0909;0.0909;58.33180569
16/08/2020;0;0;0;1;0;0;0;0;100
26/08/2020;0.23532353;0.05880588;0.23532353;0.05880588;0.17651765;0.11761176;0.05880588;0.05880588;50
27/08/2020;0;0;0.33333333;0;0.33333333;0;0.33333333;0;100
01/09/2020;0;0;1;0;0;0;0;0;100
29/09/2020;0;0.33333333;0.33333333;0;0;0.33333333;0;0;50
05/10/2020;1;0;0;0;0;0;0;0;0
14/12/2020;0.25;0;0.1875;0.1875;0.125;0;0.25;0;60
30/12/2020;0.2;0;0.3;0.2;0;0;0.3;0;71.42857143
07/01/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
19/02/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
20/02/2021;0.25;0;0.75;0;0;0;0;0;75
22/02/2021;0.16668333;0;0.49995;0.16668333;0.16668333;0;0;0;79.99760019
23/02/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
24/02/2021;0.0625;0.5;0;0.125;0;0.125;0;0.1875;18.18181818
03/03/2021;0.33333333;0;0.33333333;0;0.33333333;0;0;0;50
05/03/2021;0;0;1;0;0;0;0;0;100
08/03/2021;0.1757;0;0.2162;0.1351;0.0676;0.0946;0.1081;0.2027;66.66034155
09/03/2021;0.16668333;0.03029697;0.25757424;0.12118788;0.15148485;0.07579242;0.12118788;0.07579242;65.78673151
10/03/2021;0.25;0;0.125;0.125;0;0;0.375;0.125;50
12/03/2021;0.28572857;0;0.35713571;0.28572857;0;0.07140714;0;0;69.22994077
19/03/2021;0.33333333;0;0.33333333;0.33333333;0;0;0;0;66.66666666
22/03/2021;0;0;0;0;0;0.5;0;0.5;NAN
24/03/2021;0.25;0.125;0.125;0.25;0;0.25;0;0;50
25/03/2021;0.2308;0.1538;0.3077;0.0769;0;0;0.2308;0;50
28/03/2021;0;0;0;0;0;1;0;0;NAN
29/03/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
30/03/2021;0.25;0.25;0;0.25;0;0.25;0;0;33.33333333
31/03/2021;0.09520952;0;0.33333333;0.3810381;0.02380238;0.04760476;0.07140714;0.04760476;88.23965411
01/04/2021;0;0;0;0;0.5;0;0.5;0;NAN
06/04/2021;0;0;0.4;0;0.2;0;0.4;0;100
07/04/2021;0;0.09090909;0;0.45454545;0;0.18181818;0.18181818;0.09090909;83.33333333
08/04/2021;0.25;0.25;0;0;0;0.25;0;0.25;0
09/04/2021;0.375;0;0;0;0.125;0.375;0.125;0;0
12/04/2021;0;0;1;0;0;0;0;0;100
14/04/2021;0;0;0;1;0;0;0;0;100
15/04/2021;0.4;0.2;0;0.2;0;0;0.2;0;25
16/04/2021;0.25;0.25;0;0.25;0;0.25;0;0;33.33333333
20/04/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
22/04/2021;0.14288571;0;0.28567143;0.42855714;0.14288571;0;0;0;83.3294447
23/04/2021;0.3333;0;0.3333;0;0.1667;0;0.1667;0;50
30/04/2021;0.36363636;0;0.45454545;0;0.18181818;0;0;0;55.55555556
07/05/2021;0.33333333;0;0;0;0.33333333;0.33333333;0;0;0
18/05/2021;0;0;0;1;0;0;0;0;100
24/05/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
28/05/2021;0.10341034;0.0690069;0.20692069;0.24142414;0.10341034;0.10341034;0.13791379;0.03450345;72.22490736
29/05/2021;0.2;0;0.3;0;0.1333;0.0333;0.2667;0.0667;60
30/05/2021;0.5;0;0;0.5;0;0;0;0;50
31/05/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
01/06/2021;0.11108889;0.11108889;0.11108889;0.16668333;0.11108889;0.16668333;0.05559444;0.16668333;55.56
02/06/2021;0.25;0;0.25;0.25;0.125;0;0.125;0;66.66666666
03/06/2021;0.14288571;0;0.14288571;0.42855714;0;0.28567143;0;0;79.99720045
04/06/2021;0.2;0;0;0.2;0.2;0.4;0;0;50
05/06/2021;0.20927907;0;0.23257674;0.20927907;0.0929907;0.02329767;0.20927907;0.02329767;67.85933661
06/06/2021;0.22222222;0;0.22222222;0.44444444;0;0;0.11111111;0;75
07/06/2021;0.4;0;0;0.15;0.15;0.1;0.1;0.1;27.27272727
08/06/2021;0.42855714;0;0;0.14288571;0.04759524;0.14288571;0.14288571;0.09519048;25.00437445
10/06/2021;0.16668333;0;0;0.49995;0;0;0.16668333;0.16668333;74.99625019
13/06/2021;0.5;0;0;0.5;0;0;0;0;50
16/06/2021;0;0;0;1;0;0;0;0;100
18/06/2021;0.5;0;0;0;0;0.5;0;0;0
19/06/2021;0.5;0;0;0;0;0.5;0;0;0
21/06/2021;0.4285143;0;0;0.14287143;0.14287143;0.14287143;0.14287143;0;25.00437489
28/06/2021;0.18181818;0.09090909;0.09090909;0.18181818;0.18181818;0.09090909;0.09090909;0.09090909;50
29/06/2021;0.2;0;0.4;0.1;0.1;0;0.1;0.1;71.42857143
30/06/2021;0.25;0;0.5;0;0;0.25;0;0;66.66666667
05/07/2021;0;0.16666667;0.16666667;0.16666667;0.16666667;0.16666667;0;0.16666667;66.66666666
12/07/2021;0;0.33333333;0;0.33333333;0;0.33333333;0;0;50
14/07/2021;0.28564287;0;0.14287143;0;0.14287143;0.14287143;0.14287143;0.14287143;33.34111137
15/07/2021;0.14288571;0;0.42855714;0.28567143;0;0;0.14288571;0;83.3294447
18/07/2021;0;0;0;0.33333333;0;0;0.33333333;0.33333333;100
19/07/2021;0.15383077;0;0.15383077;0.15383077;0.07691538;0.07691538;0.23084617;0.15383077;66.66666666
20/07/2021;0;0;0;0;0;1;0;0;NAN
29/07/2021;0;0;0;0;0;0;0;1;NAN
31/07/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
04/08/2021;0.2;0;0.2;0.2;0.2;0;0;0.2;66.66666666
05/08/2021;0;0;0;0.5;0;0.5;0;0;100
07/08/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
09/08/2021;0.125;0.125;0.3125;0.25;0;0.125;0.0625;0;69.23076923
10/08/2021;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN;NAN
